supermercado,provincia,localidad,direccion,latitude,longitude
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Lisandro de Latorre 790,-34.6095579,-58.3887904
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Urquiza 1015,-34.5772742,-58.4869967
Carrefour Express,Córdoba,Córdoba,Chile 154,-31.4305054,-64.1877816
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Franklin D. Roosevelt 3002,-34.55743,-58.4606602
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Varela 888,-34.6392947,-58.4586358
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Triunvirato 4210,-34.5783211,-58.4804515
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Juan Bautista Alberdi 5494,-34.6490771,-58.4995653
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Independencia 907,-34.6174557,-58.3789522
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Serrano 1458,-34.5895935,-58.4317263
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Cabrera 4106,-34.5961334,-58.424351
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Malabia 494,-34.5982348,-58.4387318
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Esmeralda 1040,-34.6057693,-58.3779589
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Balcarce 379,-34.6119985,-58.370616
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Avenida General Las Heras 3315,-34.5829489,-58.4073292
Carrefour Express,Buenos Aires,San Miguel,Concejal Tribulato 1279,-34.5418108,-58.7139724
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Avenida Santa Fe 2429,-34.5945561,-58.4014382
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Avenida Corrientes 3401,-34.6040324,-58.4133075
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Juan Ramírez Velasco 745,-34.5961414,-58.438658
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Corrientes 921,-34.6034697,-58.3798274
Carrefour Express,Córdoba,Córdoba,Sarachaga 780,-31.3909338,-64.1849146
Carrefour Express,Córdoba,Córdoba,San Lorenzo 484,-31.4252218,-64.1807345
Carrefour Express,Córdoba,Córdoba,Buenos Aires 65,-31.7273787,-64.4382591
Carrefour Express,Córdoba,Córdoba,27 de Abril 458,-30.7018193,-64.0656564
Carrefour Express,Córdoba,Córdoba,24 de Septiembre 1594,-33.183917,-64.9966425
Carrefour Express,Córdoba,Córdoba,Independencia 855,-31.4261487,-64.1882224
Carrefour Express,Córdoba,Córdoba,San Martín 625,-31.4087206,-64.1810797
Carrefour Express,Córdoba,Córdoba,Ituzaingó 514,-31.4230034,-64.1840884
Carrefour Express,Córdoba,Córdoba,Santa Fe 723,-33.1077891,-64.3348906
Carrefour Express,Córdoba,Córdoba,Juan A. Lavalleja 49,-31.4132589,-64.1920305
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Pres. Manuel Quintana 570,-34.6095579,-58.3887904
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Sáenz 1050,-34.6527334,-58.4161259
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Ángel Gallardo 499,-34.6050486,-58.4376524
Carrefour Express,Córdoba,Córdoba,Illia 490,-31.4226979,-64.1796041
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Bucarelli 1980,-34.579841,-58.4846866
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Bulnes 758/800,-34.6095579,-58.3887904
Carrefour Express,Capital Federal,Villa Crespo,Avenida Carabobo 269,-34.5932867,-58.4480481
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Corrientes 5573,-34.5965632,-58.4421725
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Gabriela Mistral 3153,-34.5890819,-58.5048229
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Zapiola 2215,-34.5647604,-58.4642654
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Cabildo 1287,-34.5678367,-58.4486376
Carrefour Express,Córdoba,Córdoba,José María Bedoya 695,-31.4166867,-64.1834193
Carrefour Express,Córdoba,Córdoba,Blvd. San Juan 217,-31.4201793,-64.1895353
Carrefour Express,Córdoba,Córdoba,Lima 987,-31.4136485,-64.1702415
Carrefour Express,Buenos Aires,Buenos Aires,Alvear 2446,-34.4451017,-58.5712394
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Mansilla 3620,-34.591043,-58.4147897
